"Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Ryan Cordell","White Sox","10","0.0 %","30.0 %","0.00",".500",".500","1.200","1.700",".700","0.1",".600","0.0","0.0","0.0","4","3.2",".697","367","15181"
"Zack Greinke","Diamondbacks","10","10.0 %","0.0 %","1.00",".444",".500","1.222","1.722",".778","2.6",".286","","","0.0","4","3.0",".678","324","1943"
"Victor Caratini","Cubs","17","17.6 %","23.5 %","0.75",".571",".647","1.000","1.647",".429","1.4",".778","-0.2","0.1","0.0","7","4.9",".663","316","14968"
"Howie Kendrick","Nationals","27","18.5 %","14.8 %","1.25",".476",".556","1.048","1.603",".571","2.6",".467","0.0","-0.4","0.0","10","6.8",".616","284","4229"
"Cody Bellinger","Dodgers","86","12.8 %","11.6 %","1.10",".432",".512",".919","1.431",".486","6.4",".407","-0.1","-0.1","-0.3","29","18.5",".574","263","15998"
"Mitch Garver","Twins","29","6.9 %","17.2 %","0.40",".407",".448",".852","1.300",".444","2.6",".421","-0.4","0.1","0.0","9","5.2",".532","249","15161"
"Daniel Vogelbach","Mariners","58","19.0 %","25.9 %","0.73",".356",".483",".844","1.327",".489","1.0",".400","0.0","0.2","0.0","17","10.1",".525","251","14130"
"Alex Avila","Diamondbacks","21","28.6 %","23.8 %","1.20",".333",".524",".800","1.324",".467","1.6",".375","-0.4","0.0","0.0","6","3.6",".521","223","7476"
"Eric Sogard","Blue Jays","13","7.7 %","7.7 %","1.00",".500",".538",".667","1.205",".167","5.3",".545","","","0.2","4","2.1",".513","237","7927"
"Trea Turner","Nationals","15","6.7 %","33.3 %","0.20",".357",".400",".857","1.257",".500","7.5",".429","0.0","0.2","0.8","4","2.4",".510","216","16252"
"Scott Kingery","Phillies","32","3.1 %","15.6 %","0.20",".414",".469",".759","1.227",".345","4.7",".455","0.2","0.0","0.2","9","5.2",".510","218","17975"
"Mike Trout","Angels","68","25.0 %","7.4 %","3.40",".348",".544",".717","1.262",".370","3.4",".297","0.3","0.0","0.2","19","10.6",".503","233","10155"
"Tom Murphy","Mariners","20","15.0 %","35.0 %","0.43",".412",".500",".706","1.206",".294","0.2",".667","0.0","0.0","0.0","6","3.1",".502","235","13499"
"Anthony Rendon","Nationals","76","10.5 %","17.1 %","0.62",".379",".447",".788","1.235",".409","2.6",".396","0.9","0.0","0.0","21","11.5",".498","208","12861"
"Willson Contreras","Cubs","59","15.3 %","25.4 %","0.60",".319",".458",".766","1.224",".447","2.7",".346","0.2","0.1","-0.4","16","8.8",".496","209","11609"
"Christian Yelich","Brewers","91","13.2 %","15.4 %","0.86",".351",".440",".792","1.232",".442","4.8",".315","0.1","0.3","0.6","24","13.2",".490","204","11477"
"Jorge Polanco","Twins","69","10.1 %","15.9 %","0.64",".400",".464",".717","1.180",".317","4.4",".447","0.5","0.2","-0.5","18","9.6",".484","215","13152"
"Dominic Smith","Mets","24","12.5 %","12.5 %","1.00",".450",".542",".550","1.092",".100","2.6",".529","0.7","0.1","0.0","6","3.2",".475","201","15653"
"Tim Anderson","White Sox","66","1.5 %","18.2 %","0.08",".422",".439",".656","1.096",".234","6.5",".479","0.1","-0.2","1.4","16","8.1",".464","204","15172"
"Austin Meadows","Rays","74","10.8 %","18.9 %","0.57",".364",".432",".697","1.129",".333","4.0",".391","0.0","0.1","0.6","18","9.0",".462","205","15672"
"Peter Alonso","Mets","75","12.0 %","30.7 %","0.39",".323",".413",".708","1.121",".385","1.6",".417","0.6","-0.1","0.0","18","9.0",".460","191","19251"
"Russell Martin","Dodgers","22","22.7 %","13.6 %","1.67",".333",".500",".600","1.100",".267","2.6",".333","0.7","0.1","0.0","5","2.6",".456","187","4616"
"Ronald Acuna Jr.","Braves","80","16.3 %","21.3 %","0.76",".317",".442",".651","1.092",".333","7.1",".350","0.3","-0.4","0.4","19","8.9",".451","178","18401"
"Jeff McNeil","Mets","66","6.1 %","9.1 %","0.67",".424",".485",".542","1.027",".119","4.2",".472","0.1","0.3","-0.9","15","7.0",".444","181","15362"
"Tim Locastro","Diamondbacks","16","12.5 %","31.3 %","0.40",".364",".563",".364",".926",".000","7.1",".667","0.0","0.0","0.4","4","1.7",".440","171","15124"
"Alex Verdugo","Dodgers","45","2.2 %","15.6 %","0.14",".364",".378",".682","1.060",".318","2.9",".382","0.1","0.0","0.0","10","4.6",".440","177","17027"
"Shin-Soo Choo","Rangers","65","12.3 %","21.5 %","0.57",".345",".446",".600","1.046",".255","5.7",".450","-0.3","0.1","-0.3","15","6.7",".440","179","3174"
"Giancarlo Stanton","Yankees","15","46.7 %","26.7 %","1.75",".250",".600",".250",".850",".000","0.2",".500","-0.1","0.1","0.0","3","1.5",".439","185","4949"
"Michael Conforto","Mets","83","12.0 %","20.5 %","0.59",".324",".422",".634","1.055",".310","5.0",".367","-0.2","0.1","0.4","18","8.4",".438","177","16376"
"Carlos Santana","Indians","68","20.6 %","13.2 %","1.56",".389",".515",".537","1.052",".148","1.5",".455","0.4","-0.2","0.0","15","6.8",".437","180","2396"
"Marcell Ozuna","Cardinals","67","6.0 %","23.9 %","0.25",".290",".343",".726","1.069",".435","5.3",".263","0.3","-0.2","0.4","15","6.7",".436","172","10324"
"Paul DeJong","Cardinals","81","7.4 %","19.8 %","0.38",".342",".407",".630","1.038",".288","6.8",".396","0.8","0.3","0.2","18","7.9",".434","170","18015"
"Kolten Wong","Cardinals","71","14.1 %","15.5 %","0.91",".316",".437",".614","1.051",".298","7.5",".326","0.4","0.2","0.8","16","6.9",".434","170","12532"
"Gary Sanchez","Yankees","45","4.4 %","20.0 %","0.22",".268",".333",".732","1.065",".463","0.1",".192","-0.2","0.2","0.0","10","4.4",".433","181","11442"
"Jason Heyward","Cubs","63","15.9 %","9.5 %","1.67",".353",".444",".608","1.052",".255","5.7",".326","0.2","-1.3","0.6","14","6.1",".432","168","4940"
"Trey Mancini","Orioles","89","9.0 %","22.5 %","0.40",".338",".393",".650","1.043",".313","2.3",".382","0.6","0.3","0.0","19","8.5",".431","180","15149"
"Yasmani Grandal","Brewers","67","7.5 %","22.4 %","0.33",".350",".403",".633","1.036",".283","4.3",".390","0.3","0.0","0.2","14","6.4",".431","165","11368"
"Christian Walker","Diamondbacks","67","10.4 %","31.3 %","0.33",".300",".373",".683","1.056",".383","4.6",".364","0.2","0.1","0.4","14","6.3",".430","165","13419"
"Elvis Andrus","Rangers","73","4.1 %","20.5 %","0.20",".386",".411",".600","1.011",".214","6.4",".462","0.2","-0.2","0.3","16","6.7",".427","170","8709"
"Chad Wallach","Marlins","26","19.2 %","19.2 %","1.00",".333",".462",".524",".985",".190","1.2",".400","0.0","0.1","0.0","6","2.4",".425","168","17161"
"Guillermo Heredia","Rays","17","11.8 %","17.6 %","0.67",".308",".400",".615","1.015",".308","0.1",".333","0.1","0.1","0.0","4","1.5",".424","178","18721"
"J.D. Martinez","Red Sox","80","10.0 %","11.3 %","0.89",".352",".425",".592","1.017",".239","0.8",".362","-0.8","0.2","0.0","17","7.1",".423","170","6184"
"David Dahl","Rockies","43","9.3 %","30.2 %","0.31",".342",".395",".632","1.027",".289","4.2",".458","0.2","-0.1","-0.4","9","3.8",".422","146","13744"
"Adam Jones","Diamondbacks","86","8.1 %","14.0 %","0.58",".320",".400",".600","1.000",".280","1.6",".328","-0.2","-0.2","-0.5","18","7.2",".417","156","6368"
"David Freese","Dodgers","31","19.4 %","19.4 %","1.00",".280",".419",".560",".979",".280","1.6",".333","0.0","0.1","0.0","6","2.5",".414","160","9549"
"David Peralta","Diamondbacks","85","5.9 %","16.5 %","0.36",".367",".412",".570",".981",".203","1.3",".429","-0.9","-0.5","0.0","17","6.8",".413","154","2136"
"Joc Pederson","Dodgers","78","11.5 %","17.9 %","0.64",".234",".359",".656","1.015",".422","5.1",".163","-0.1","0.2","0.0","16","6.2",".413","159","11899"
"Alex Gordon","Royals","80","8.8 %","11.3 %","0.78",".328",".413",".567",".980",".239","1.9",".333","1.2","-0.3","0.0","16","6.3",".411","165","5209"
"Javier Baez","Cubs","77","3.9 %","31.2 %","0.13",".324",".351",".635",".986",".311","5.4",".409","0.7","-0.1","0.4","15","6.0",".410","153","12979"
"Jose Altuve","Astros","78","7.7 %","19.2 %","0.40",".310",".359",".634",".993",".324","2.4",".300","0.7","-0.4","-0.3","15","6.0",".409","169","5417"
"Mark Canha","Athletics","40","25.0 %","25.0 %","1.00",".241",".450",".483",".933",".241","2.0",".294","0.3","0.2","0.0","8","3.1",".409","167","11445"
"Daniel Descalso","Cubs","49","10.2 %","20.4 %","0.50",".364",".429",".523",".951",".159","3.2",".455","0.1","0.1","-0.2","10","3.7",".409","152","8392"
"Freddie Freeman","Braves","83","16.9 %","15.7 %","1.08",".324",".446",".500",".946",".176","2.6",".377","0.6","0.1","-0.5","16","6.2",".407","150","5361"
"Wil Myers","Padres","68","7.4 %","29.4 %","0.25",".317",".368",".603",".971",".286","2.8",".395","0.1","-0.3","-0.5","13","5.1",".406","153","10047"
"Rhys Hoskins","Phillies","78","17.9 %","26.9 %","0.67",".242",".397",".548",".946",".306","2.5",".278","-0.7","0.2","-0.5","15","5.5",".401","148","16472"
"Colin Moran","Pirates","35","14.3 %","22.9 %","0.63",".300",".400",".567",".967",".267","0.1",".350","0.0","-0.1","0.0","7","2.4",".400","148","16909"
