"Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Tim Beckham","Mariners","83","12.0 %","24.1 %","0.50",".301",".386",".562",".947",".260","3.0",".367","0.2","0.2","-0.7","16","5.7",".399","163","7949"
"Joey Gallo","Rangers","64","17.2 %","35.9 %","0.48",".226",".359",".604",".963",".377","2.1",".250","0.2","-0.1","0.0","12","4.4",".399","150","14128"
"Clint Frazier","Yankees","53","3.8 %","20.8 %","0.18",".347",".358",".612",".971",".265","0.8",".361","0.0","0.1","0.0","10","3.6",".398","156","15983"
"Matt Chapman","Athletics","83","8.4 %","9.6 %","0.88",".284",".361",".581",".943",".297","1.6",".250","-0.1","0.2","-0.5","15","5.4",".395","158","16505"
"Josh Bell","Pirates","68","10.3 %","17.6 %","0.58",".310",".382",".586",".969",".276","5.0",".333","0.6","0.1","-0.4","13","4.4",".395","145","13145"
"J.D. Davis","Mets","55","16.4 %","18.2 %","0.90",".283",".400",".522",".922",".239","1.5",".303","0.4","0.2","0.0","10","3.5",".394","148","16219"
"Edwin Encarnacion","Mariners","84","14.3 %","15.5 %","0.92",".279",".405",".515",".919",".235","2.3",".275","0.3","0.2","-0.5","16","5.3",".393","159","2151"
"Jake Marisnick","Astros","30","10.0 %","26.7 %","0.38",".333",".400",".519",".919",".185","3.3",".444","0.0","0.0","-0.9","6","1.9",".393","158","11339"
"Yoan Moncada","White Sox","78","5.1 %","24.4 %","0.21",".311",".346",".595",".941",".284","4.8",".360","0.3","0.3","0.0","14","4.9",".393","155","17232"
"Dansby Swanson","Braves","69","15.9 %","18.8 %","0.85",".273",".391",".564",".955",".291","4.9",".275","0.6","0.4","-0.3","13","4.3",".391","140","18314"
"Khris Davis","Athletics","82","4.9 %","20.7 %","0.24",".260",".305",".662",".967",".403","0.4",".200","-0.2","-0.3","0.0","15","4.9",".389","153","9112"
"Justin Smoak","Blue Jays","69","18.8 %","17.4 %","1.08",".259",".420",".463",".883",".204","1.3",".282","-0.1","0.0","0.0","12","4.1",".388","150","9054"
"Fernando Tatis Jr.","Padres","76","6.6 %","30.3 %","0.22",".294",".355",".574",".929",".279","2.3",".366","0.1","0.4","-0.2","14","4.5",".387","141","19709"
"Freddy Galvis","Blue Jays","78","3.8 %","21.8 %","0.18",".320",".346",".573",".919",".253","2.4",".358","0.0","0.2","-0.2","14","4.5",".386","149","6609"
"Ryan McMahon","Rockies","33","12.1 %","24.2 %","0.50",".276",".364",".552",".915",".276","1.4",".316","0.3","0.1","0.0","6","1.9",".385","123","15112"
"Juan Soto","Nationals","75","17.3 %","25.3 %","0.68",".262",".400",".492",".892",".230","3.7",".333","-0.3","0.2","0.2","13","4.2",".385","135","20123"
"Martin Prado","Marlins","36","5.6 %","5.6 %","1.00",".382",".417",".471",".887",".088","0.8",".406","-0.8","0.2","0.0","6","2.0",".385","142","3312"
"Marcus Semien","Athletics","91","12.1 %","12.1 %","1.00",".316",".396",".506",".902",".190","3.2",".333","-0.6","0.3","-0.3","16","5.1",".385","150","12533"
"Josh Phegley","Athletics","44","2.3 %","20.5 %","0.11",".310",".341",".571",".912",".262","2.6",".333","-0.4","0.1","0.0","8","2.4",".383","149","9308"
"Nelson Cruz","Twins","46","17.4 %","23.9 %","0.73",".278",".435",".444",".879",".167","0.6",".375","-0.2","-0.2","0.0","8","2.5",".383","145","2434"
"Eddie Rosario","Twins","66","7.6 %","18.2 %","0.42",".262",".318",".607",".925",".344","1.6",".233","0.4","0.0","0.0","12","3.6",".382","144","12155"
"Hunter Dozier","Royals","71","11.3 %","21.1 %","0.53",".279",".366",".557",".924",".279","1.5",".286","0.0","0.1","-0.4","12","3.9",".382","145","15117"
"Yandy Diaz","Rays","76","17.1 %","17.1 %","1.00",".258",".382",".516",".898",".258","4.1",".261","-0.1","0.2","0.2","13","4.0",".380","148","16578"
"Mike Moustakas","Brewers","76","13.2 %","19.7 %","0.67",".231",".342",".569",".911",".338","0.8",".205","0.1","-0.3","0.0","13","4.0",".380","133","4892"
"Jorge Alfaro","Marlins","49","2.0 %","36.7 %","0.06",".326",".367",".522",".889",".196","1.7",".480","0.0","-0.1","-0.9","9","2.6",".380","139","12180"
"Bryce Harper","Phillies","82","20.7 %","29.3 %","0.71",".250",".415",".500",".915",".250","3.4",".333","-1.0","0.2","0.2","14","4.3",".380","134","11579"
"Hernan Perez","Brewers","29","6.9 %","34.5 %","0.20",".296",".345",".556",".900",".259","4.9",".400","0.2","0.0","-0.2","5","1.5",".378","132","5751"
"Paul Goldschmidt","Cardinals","83","14.5 %","30.1 %","0.48",".239",".349",".563",".913",".324","1.5",".256","0.4","0.4","0.0","14","4.2",".378","135","9218"
"Andrew McCutchen","Phillies","84","19.0 %","26.2 %","0.73",".250",".393",".485",".878",".235","4.7",".326","1.0","0.1","0.0","14","4.3",".378","133","9847"
"Domingo Santana","Mariners","103","9.7 %","26.2 %","0.37",".315",".382",".500",".882",".185","4.1",".410","0.1","0.3","0.6","18","5.3",".378","148","10348"
"Hunter Renfroe","Padres","55","7.3 %","23.6 %","0.31",".255",".309",".608",".917",".353","3.5",".265","-0.7","0.2","0.0","9","2.7",".377","135","15464"
"Brian Goodwin","Angels","54","9.3 %","24.1 %","0.38",".319",".389",".511",".900",".191","2.6",".394","0.0","0.0","0.0","9","2.7",".376","145","12858"
"Max Muncy","Dodgers","74","12.2 %","27.0 %","0.45",".270",".351",".571",".923",".302","2.9",".300","-0.4","0.1","0.0","13","3.6",".375","135","13301"
"Franchy Cordero","Padres","20","20.0 %","35.0 %","0.57",".333",".450",".400",".850",".067","4.5",".556","0.5","0.1","0.2","3","1.0",".375","133","14567"
"Brandon Lowe","Rays","72","8.3 %","34.7 %","0.24",".277",".333",".569",".903",".292","4.5",".361","0.1","0.0","0.4","12","3.4",".374","143","18882"
"Melky Cabrera","Pirates","51","3.9 %","9.8 %","0.40",".367",".392",".490",".882",".122","3.5",".395","0.1","0.1","0.2","9","2.4",".373","131","4022"
"Xander Bogaerts","Red Sox","75","13.3 %","17.3 %","0.77",".297",".387",".484",".871",".188","1.6",".340","-1.3","0.1","0.0","13","3.5",".372","135","12161"
"Enrique Hernandez","Dodgers","74","12.2 %","18.9 %","0.64",".281",".365",".531",".896",".250","1.7",".298","0.2","0.2","0.0","12","3.4",".372","133","10472"
"Mitch Moreland","Red Sox","64","9.4 %","23.4 %","0.40",".241",".313",".586",".899",".345","0.8",".237","-0.1","-0.3","0.0","11","2.9",".371","134","3086"
"Nick Markakis","Braves","72","11.1 %","15.3 %","0.73",".317",".389",".476",".865",".159","2.2",".353","-0.6","-0.3","0.0","12","3.2",".371","127","5930"
"Jean Segura","Phillies","73","6.8 %","15.1 %","0.45",".328",".384",".478",".861",".149","6.7",".382","1.0","0.3","0.2","12","3.3",".370","128","5933"
"Aaron Judge","Yankees","81","16.0 %","32.1 %","0.50",".273",".395",".470",".865",".197","3.3",".378","0.2","-0.1","-0.1","13","3.6",".370","136","15640"
"David Bote","Cubs","40","10.0 %","22.5 %","0.44",".286",".375",".486",".861",".200","1.9",".360","0.2","0.1","0.0","7","1.8",".370","127","14593"
"Gordon Beckham","Tigers","28","7.1 %","39.3 %","0.18",".240",".321",".560",".881",".320","6.6",".333","0.1","-0.4","0.2","5","1.2",".368","136","9015"
"Ronald Guzman","Rangers","28","7.1 %","35.7 %","0.20",".231",".286",".615",".901",".385","4.0",".286","-1.1","-0.6","-0.4","5","1.2",".368","129","14388"
"Avisail Garcia","Rays","66","6.1 %","27.3 %","0.22",".311",".364",".508",".872",".197","4.4",".400","0.3","0.2","0.4","11","2.8",".367","138","5760"
"Brandon Nimmo","Mets","68","16.2 %","38.2 %","0.42",".241",".388",".463",".851",".222","2.5",".400","0.0","0.1","0.0","11","2.8",".366","131","12927"
"Jose Rondon","White Sox","28","7.1 %","28.6 %","0.25",".308",".357",".500",".857",".192","0.9",".412","0.1","-0.2","0.0","5","1.1",".365","136","14140"
"Niko Goodrum","Tigers","63","14.3 %","23.8 %","0.60",".278",".381",".463",".844",".185","2.7",".368","-0.3","0.3","-0.2","10","2.5",".365","134","12092"
"Victor Robles","Nationals","65","6.2 %","30.8 %","0.20",".271",".328",".542",".870",".271","8.0",".361","0.1","0.1","0.0","10","2.6",".364","122","18363"
"Asdrubal Cabrera","Rangers","63","9.5 %","23.8 %","0.40",".232",".302",".589",".891",".357","2.4",".194","-0.6","-0.4","0.0","10","2.5",".364","126","4962"
"Alex Bregman","Astros","67","13.4 %","14.9 %","0.90",".286",".388",".446",".834",".161","4.1",".311","-0.4","0.1","0.4","11","2.5",".362","136","17678"
"Leonys Martin","Indians","73","13.7 %","28.8 %","0.48",".258",".370",".468",".838",".210","1.9",".342","0.1","-0.1","-0.7","12","2.7",".362","128","11846"
"Lorenzo Cain","Brewers","86","10.5 %","14.0 %","0.75",".307",".384",".453",".837",".147","4.7",".339","0.4","-0.1","0.1","14","3.2",".362","121","9077"
"Omar Narvaez","Mariners","69","7.2 %","23.2 %","0.31",".297",".348",".500",".848",".203","2.6",".341","0.6","0.2","0.0","11","2.5",".361","137","13338"
"Carlos Correa","Astros","63","11.1 %","23.8 %","0.47",".273",".365",".473",".838",".200","3.3",".342","-0.2","0.1","0.2","10","2.3",".361","135","14162"
"Mark Zagunis","Cubs","20","0.0 %","35.0 %","0.00",".350",".350",".500",".850",".150","0.4",".538","0.0","-0.2","0.0","3","0.7",".360","121","16565"
"Jarrod Dyson","Diamondbacks","43","14.0 %","20.9 %","0.67",".270",".372",".459",".832",".189","5.2",".308","0.2","0.1","0.2","7","1.6",".360","120","4866"
"Brandon Belt","Giants","76","11.8 %","26.3 %","0.45",".231",".342",".508",".850",".277","4.8",".268","-0.3","0.2","-0.2","12","2.7",".360","124","10264"
"Tommy Pham","Rays","85","15.3 %","15.3 %","1.00",".286",".400",".414",".814",".129","4.9",".309","0.0","0.3","1.2","13","3.0",".360","133","2967"
"Jason Martin","Pirates","23","8.7 %","21.7 %","0.40",".333",".391",".429",".820",".095","5.9",".438","0.1","0.0","0.4","4","0.8",".358","122","16429"
"Mitch Haniger","Mariners","99","4.0 %","28.3 %","0.14",".267",".313",".556",".869",".289","7.9",".322","-0.4","0.0","0.4","15","3.4",".358","134","14274"
"Jake Cave","Twins","21","19.0 %","14.3 %","1.33",".294",".429",".353",".782",".059","0.2",".357","-1.1","-0.2","0.0","3","0.7",".357","127","14477"
"Tyler Flowers","Braves","38","5.3 %","31.6 %","0.17",".324",".395",".412",".807",".088","0.6",".476","0.1","0.1","0.0","6","1.3",".357","118","9134"
"Kevin Kiermaier","Rays","70","7.1 %","22.9 %","0.31",".281",".329",".531",".860",".250","8.1",".340","0.3","0.2","-0.3","11","2.3",".357","131","11038"
"Robinson Chirinos","Astros","50","14.0 %","26.0 %","0.54",".225",".347",".500",".847",".275","1.3",".269","-0.3","-0.1","0.0","8","1.6",".356","132","3142"
"Yuli Gurriel","Astros","71","7.0 %","11.3 %","0.63",".308",".352",".492",".844",".185","4.2",".333","-0.4","0.2","-0.9","11","2.3",".356","132","19198"
"Adam Eaton","Nationals","78","9.0 %","17.9 %","0.50",".319",".397",".406",".803",".087","4.7",".389","0.4","0.1","0.1","12","2.5",".356","116","11205"
"Manny Machado","Padres","78","12.8 %","23.1 %","0.56",".254",".359",".463",".822",".209","3.7",".289","0.0","-0.6","0.2","12","2.5",".355","121","11493"
"Matt Joyce","Braves","13","15.4 %","46.2 %","0.33",".182",".308",".545",".853",".364","0.1",".250","0.0","0.0","0.0","2","0.4",".354","116","3353"
"Troy Tulowitzki","Yankees","13","15.4 %","30.8 %","0.50",".182",".308",".545",".853",".364","0.1",".167","0.0","-0.3","0.0","2","0.4",".354","126","3531"
"George Springer","Astros","82","11.0 %","29.3 %","0.38",".254",".341",".493",".834",".239","3.8",".302","0.1","0.0","-0.1","12","2.5",".354","130","12856"
"JB Shuck","Pirates","36","19.4 %","13.9 %","1.40",".259",".429",".333",".762",".074","3.4",".318","-0.1","0.1","0.0","5","1.1",".353","119","6677"
"Derek Dietrich","Reds","43","7.0 %","18.6 %","0.38",".184",".279",".579",".858",".395","4.1",".115","0.4","0.2","0.0","6","1.3",".352","114","10542"
"Chad Pinder","Athletics","60","1.7 %","13.3 %","0.13",".298",".317",".526",".843",".228","2.4",".298","0.0","0.2","0.0","9","1.7",".351","127","15191"
"Richard Urena","Blue Jays","27","3.7 %","25.9 %","0.14",".333",".360",".458",".818",".125","0.2",".471","0.1","0.1","0.0","4","0.8",".351","125","16411"
"Tucker Barnhart","Reds","47","19.1 %","14.9 %","1.29",".263",".404",".395",".799",".132","1.3",".300","-0.1","0.0","0.0","7","1.3",".350","113","10200"
"Andrew Benintendi","Red Sox","67","10.4 %","19.4 %","0.54",".293",".364",".448",".812",".155","4.8",".356","0.3","0.3","-0.2","10","1.7",".348","118","17901"
"Michael A. Taylor","Nationals","11","27.3 %","36.4 %","0.75",".250",".455",".250",".705",".000","2.0",".500","","","0.0","2","0.3",".348","111","11489"
"Johan Camargo","Braves","39","12.8 %","28.2 %","0.45",".265",".359",".471",".830",".206","0.5",".364","0.2","0.1","0.0","6","1.0",".347","111","14950"
"Randal Grichuk","Blue Jays","80","10.0 %","30.0 %","0.33",".239",".325",".493",".818",".254","2.6",".302","-0.1","0.1","0.0","12","2.0",".347","122","10243"
"DJ LeMahieu","Yankees","68","7.4 %","14.7 %","0.50",".328",".382",".410",".792",".082","2.0",".385","-0.3","0.1","0.0","10","1.6",".345","119","9874"
"Whit Merrifield","Royals","85","4.7 %","11.8 %","0.40",".313",".341",".488",".829",".175","8.1",".333","0.2","-0.3","0.1","12","2.0",".345","119","11281"
"Maikel Franco","Phillies","72","15.3 %","8.3 %","1.83",".233",".347",".567",".914",".333","0.8",".163","-0.2","-0.1","0.0","10","1.7",".345","112","12179"
"Eugenio Suarez","Reds","66","13.6 %","24.2 %","0.56",".232",".348",".446",".795",".214","0.9",".270","-0.9","-0.1","-0.4","10","1.5",".345","109","12552"
"Curt Casali","Reds","24","4.2 %","33.3 %","0.13",".304",".333",".478",".812",".174","1.9",".467","0.0","0.0","0.0","3","0.5",".344","109","12510"
"Josh Donaldson","Braves","76","17.1 %","26.3 %","0.65",".238",".368",".413",".781",".175","1.9",".317","0.4","-0.4","0.0","11","1.7",".344","109","5038"
"Ji-Man Choi","Rays","72","12.5 %","22.2 %","0.56",".279",".375",".410",".785",".131","2.5",".356","0.0","0.3","-0.7","10","1.6",".344","122","5452"
"J.T. Realmuto","Phillies","73","8.2 %","16.4 %","0.50",".277",".342",".462",".804",".185","3.2",".294","0.6","0.0","-0.5","10","1.6",".343","111","11739"
"Michael Brantley","Astros","74","8.1 %","13.5 %","0.60",".299",".365",".433",".798",".134","3.4",".327","-0.1","-0.6","-0.1","11","1.6",".342","123","4106"
"Wilson Ramos","Mets","61","9.8 %","9.8 %","1.00",".321",".393",".396",".790",".075","1.8",".340","-0.4","-0.5","0.0","9","1.3",".342","115","1433"
"Tommy La Stella","Angels","62","12.9 %","6.5 %","2.00",".226",".328",".472",".800",".245","1.5",".178","0.2","0.0","0.0","9","1.3",".342","122","12371"
"Brian McCann","Braves","23","21.7 %","8.7 %","2.50",".294",".435",".353",".788",".059","0.1",".313","-0.1","0.1","0.0","3","0.5",".341","107","4810"
"James McCann","White Sox","32","9.4 %","18.8 %","0.50",".276",".344",".448",".792",".172","4.7",".318","0.0","-0.3","0.2","5","0.6",".341","119","12859"
"Tyler Austin","- - -","20","15.0 %","40.0 %","0.38",".294",".400",".353",".753",".059","1.9",".556","0.1","0.0","0.0","3","0.4",".341","113","11850"
"Luke Voit","Yankees","76","13.2 %","25.0 %","0.53",".219",".342",".438",".780",".219","1.1",".244","0.2","0.0","0.0","11","1.4",".339","115","14811"
"Adam Frazier","Pirates","72","11.1 %","16.7 %","0.67",".274",".366",".403",".769",".129","4.2",".327","0.1","0.1","-0.1","10","1.3",".339","109","15223"
"Ozzie Albies","Braves","83","8.4 %","15.7 %","0.54",".289",".349",".434",".784",".145","6.0",".328","0.7","0.1","-0.3","12","1.5",".338","106","16556"
"Jorge Soler","Royals","78","7.7 %","37.2 %","0.21",".236",".295",".514",".809",".278","1.4",".316","0.5","0.1","-0.4","11","1.4",".338","114","14221"
"Christin Stewart","Tigers","64","10.9 %","25.0 %","0.44",".222",".313",".519",".831",".296","3.2",".243","-0.5","0.2","0.0","9","1.0",".336","114","17714"
"Gleyber Torres","Yankees","75","6.7 %","24.0 %","0.28",".261",".307",".493",".799",".232","1.8",".292","-0.4","0.2","0.0","10","1.1",".335","112","16997"
"Byron Buxton","Twins","52","5.8 %","23.1 %","0.25",".271",".327",".479",".806",".208","9.6",".361","-0.5","0.2","0.8","7","0.7",".334","111","14161"
"Cesar Hernandez","Phillies","73","12.3 %","11.0 %","1.13",".270",".356",".429",".785",".159","6.7",".278","0.3","-0.2","0.4","10","1.0",".334","105","10556"
"Jay Bruce","Mariners","77","9.1 %","32.5 %","0.28",".176",".260",".559",".819",".382","2.4",".111","0.0","0.3","0.0","10","1.1",".334","118","9892"
"Adalberto Mondesi","Royals","82","4.9 %","26.8 %","0.18",".270",".296",".527",".823",".257","8.5",".340","-0.1","0.3","0.6","11","1.1",".334","111","13769"
"Dwight Smith Jr.","Orioles","82","6.1 %","14.6 %","0.42",".276",".317",".474",".791",".197","6.2",".290","-0.1","0.1","0.6","11","1.1",".333","112","13473"
"Austin Barnes","Dodgers","56","17.9 %","14.3 %","1.25",".227",".375",".386",".761",".159","4.5",".229","-0.3","0.0","0.2","8","0.7",".332","107","12158"
"Corey Dickerson","Pirates","16","18.8 %","18.8 %","1.00",".154",".313",".462",".774",".308","0.1",".111","0.0","-0.1","0.0","2","0.2",".331","104","10762"
"Kurt Suzuki","Nationals","29","6.9 %","13.8 %","0.50",".240",".310",".480",".790",".240","0.6",".200","-0.1","-0.3","0.0","4","0.3",".331","100","8259"
"John Ryan Murphy","Diamondbacks","21","14.3 %","38.1 %","0.38",".167",".286",".500",".786",".333","2.6",".125","0.0","0.0","0.0","3","0.2",".330","100","10346"
"Isiah Kiner-Falefa","Rangers","36","13.9 %","19.4 %","0.71",".276",".400",".310",".710",".034","1.9",".364","0.1","0.1","0.0","5","0.4",".330","102","16512"
